EAN,Descricao,Validade,Status,Setor,DataCadastro
7896009498121,CENTRUM ADULTO 30CP,2027-01,ativo,MARCOS,2026-02-21
7896009498138,CENTRUM ADULTO 60CP,2026-07,ativo,MARCOS,2026-02-21
7896009498633,CENTRUM ESSENTIALS HOMEM 30CP,2026-09,ativo,MARCOS,2026-02-21
7896009498626,CENTRUM ESSENTIALS HOMEM 60CP,2026-10,ativo,MARCOS,2026-02-21
7896226100067,VITERGAN MASTER N 30CP,2027-09,ativo,MARCOS,2026-02-21
7896226110486,VITERGAN ZINCO PL D 70CP,2027-06,ativo,MARCOS,2026-02-21
7896226110431,VITERGAN ZINCO PL D 30CP,2027-06,ativo,MARCOS,2026-02-21
7896226109350,VITERGAN ZINCO PL 60CP,2027-07,ativo,MARCOS,2026-02-21
7896226102801,VITERGAN ZINCO PL 30CP,2027-09,ativo,MARCOS,2026-02-21
7896226110479,VITERGAN ZINCO D 70CP,2026-09,ativo,MARCOS,2026-02-21
7896226110417,VITERGAN ZINCO D 30CP,2026-08,ativo,MARCOS,2026-02-21
7896226102603,VITERGAN ZINCO 30CP,2027-09,ativo,MARCOS,2026-02-21
7896226109336,VITERGAN ZINCO 60CP,2026-07,ativo,MARCOS,2026-02-21
7896226110127,VITERGAN MASTER N 70CP,2027-05,ativo,MARCOS,2026-02-21
7891045031257,NESTLE MATERNA 30CP,2027-03,ativo,MARCOS,2026-02-21
7898430194320,DPREV TODO DIA 600UI 5ML FRUTAS,2027-11,ativo,MARCOS,2026-02-21
7898322242122,MULTIMIX PASTILHAS INFANTIL LIMAO E MENTA,2027-05,ativo,MARCOS,2026-02-21
7896920304716,MILMUNE LARANJA 30 GOMAS,2026-06,ativo,MARCOS,2026-02-21
7899420508530,SOPI 30 SACHES 4GR,2027-09,ativo,MARCOS,2026-02-21
7896637030823,VELUS MAG 30CP,2027-04,ativo,MARCOS,2026-02-21
7896685302095,QUITLIS SOL ORAL 150ML,2027-08,ativo,MARCOS,2026-02-21
7898956544081,NUTRINFAN 120ML,2027-02,ativo,MARCOS,2026-02-21
